"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","5,111.35","5,194.73","5,194.73","5,110.67","678.63M","-1.61%"
"12/10/2023","5,194.73","5,286.49","5,366.58","5,193.66","587.95M","-1.74%"
"12/07/2023","5,286.49","5,349.53","5,351.57","5,171.82","566.43M","-1.18%"
"12/06/2023","5,349.53","5,425.25","5,502.21","5,346.05","608.60M","-1.40%"
"12/05/2023","5,425.25","5,384.85","5,450.85","5,384.85","733.96M","0.75%"
"12/04/2023","5,384.85","5,304.55","5,392.75","5,304.55","716.37M","1.51%"
"12/03/2023","5,304.55","5,274.93","5,336.89","5,269.73","734.38M","0.56%"
"11/30/2023","5,274.93","5,187.11","5,276.18","5,187.11","885.83M","1.69%"
"11/29/2023","5,187.11","5,174.36","5,256.49","5,174.36","1.00B","0.25%"
"11/28/2023","5,174.36","5,129.48","5,183.56","5,121.95","1.03B","0.87%"
"11/27/2023","5,129.48","5,091.54","5,145.53","5,091.54","1.02B","0.75%"
"11/26/2023","5,091.54","5,065.43","5,132.74","5,065.43","1.19B","0.52%"
"11/23/2023","5,065.43","5,033.79","5,095.96","5,033.79","816.69M","0.63%"
"11/22/2023","5,033.79","4,933.66","5,043.71","4,933.66","1.05B","2.03%"
"11/21/2023","4,933.66","4,856.76","4,941.49","4,854.03","1.12B","1.58%"
"11/20/2023","4,856.76","4,909.12","4,939.82","4,854.81","544.19M","-1.07%"
"11/19/2023","4,909.12","4,865.72","4,944.75","4,865.72","527.47M","0.89%"
"11/16/2023","4,865.72","4,819.12","4,881.73","4,819.12","546.22M","0.97%"
"11/15/2023","4,819.12","4,791.72","4,851.70","4,791.72","743.88M","0.57%"
"11/14/2023","4,791.72","4,791.36","4,842.05","4,785.94","711.76M","0.01%"
"11/13/2023","4,791.36","4,732.43","4,800.82","4,726.00","849.19M","1.25%"
"11/12/2023","4,732.43","4,658.98","4,738.01","4,658.98","801.67M","1.58%"
"11/09/2023","4,658.98","4,654.48","4,702.05","4,622.82","691.14M","0.10%"
"11/08/2023","4,654.48","4,619.64","4,696.93","4,619.64","603.83M","0.75%"
"11/07/2023","4,619.64","4,545.89","4,622.50","4,545.89","652.70M","1.62%"
"11/06/2023","4,545.89","4,515.47","4,559.61","4,515.47","632.32M","0.67%"
"11/05/2023","4,515.47","4,412.82","4,515.47","4,412.82","672.84M","2.33%"
"11/02/2023","4,412.82","4,305.41","4,413.80","4,305.41","507.44M","2.49%"
"11/01/2023","4,305.41","4,325.84","4,371.68","4,255.51","378.07M","-0.47%"
"10/31/2023","4,325.84","4,421.10","4,446.11","4,325.84","438.31M","-2.15%"
"10/30/2023","4,421.10","4,408.30","4,455.66","4,408.30","654.93M","0.29%"
"10/29/2023","4,408.30","4,339.30","4,421.28","4,339.30","466.05M","1.59%"
"10/26/2023","4,339.30","4,317.40","4,370.81","4,284.76","533.43M","0.51%"
"10/25/2023","4,317.40","4,177.24","4,327.19","4,177.24","623.42M","3.36%"
"10/24/2023","4,177.24","4,143.35","4,201.09","4,107.38","458.97M","0.82%"
"10/23/2023","4,143.35","4,063.36","4,160.95","4,063.36","468.87M","1.97%"
"10/22/2023","4,063.36","3,919.11","4,063.78","3,919.11","344.81M","3.68%"
"10/19/2023","3,919.11","3,876.45","3,947.27","3,876.45","375.42M","1.10%"
"10/18/2023","3,876.45","3,871.07","3,896.02","3,864.74","308.22M","0.14%"
"10/17/2023","3,871.07","3,807.99","3,871.39","3,806.21","368.26M","1.66%"
"10/16/2023","3,807.99","3,751.74","3,814.20","3,748.96","208.50M","1.50%"
"10/15/2023","3,751.74","3,706.60","3,759.89","3,706.60","276.42M","1.22%"
"10/12/2023","3,706.60","3,688.66","3,713.84","3,687.24","241.03M","0.49%"
"10/11/2023","3,688.66","3,668.55","3,695.95","3,668.55","355.68M","0.55%"
"10/10/2023","3,668.55","3,611.52","3,670.19","3,611.37","260.13M","1.58%"
"10/09/2023","3,611.52","3,583.08","3,611.70","3,583.08","245.45M","0.79%"
"10/08/2023","3,583.08","3,735.56","3,735.56","3,519.03","376.29M","-4.08%"
"10/04/2023","3,735.56","3,712.45","3,735.77","3,702.38","237.48M","0.62%"
"10/03/2023","3,712.45","3,749.07","3,763.80","3,712.45","282.66M","-0.98%"
"10/02/2023","3,749.07","3,789.13","3,800.49","3,710.95","298.84M","-1.06%"
"10/01/2023","3,789.13","3,785.08","3,809.70","3,785.08","237.34M","0.11%"
"09/27/2023","3,785.08","3,795.65","3,807.63","3,768.61","406.86M","-0.28%"
"09/26/2023","3,795.65","3,812.64","3,835.44","3,795.44","317.41M","-0.45%"
"09/25/2023","3,812.64","3,827.86","3,838.72","3,807.66","317.91M","-0.40%"
"09/24/2023","3,827.86","3,828.64","3,857.14","3,827.40","285.27M","-0.02%"
"09/21/2023","3,828.64","3,799.67","3,830.61","3,794.79","373.42M","0.76%"
"09/20/2023","3,799.67","3,876.09","3,891.39","3,796.27","482.55M","-1.97%"
"09/19/2023","3,876.09","3,890.71","3,919.34","3,876.03","494.21M","-0.38%"
"09/18/2023","3,890.71","3,854.39","3,901.27","3,854.39","587.92M","0.94%"
"09/17/2023","3,854.39","3,839.00","3,877.65","3,839.00","357.53M","0.40%"
"09/14/2023","3,839.00","3,812.54","3,845.33","3,812.54","290.08M","0.69%"
"09/13/2023","3,812.54","3,778.39","3,812.54","3,778.39","210.59M","0.90%"
"09/12/2023","3,778.39","3,797.15","3,813.42","3,778.02","205.19M","-0.49%"
"09/11/2023","3,797.15","3,831.98","3,838.34","3,797.15","272.00M","-0.91%"
"09/10/2023","3,831.98","3,823.63","3,856.08","3,823.63","289.24M","0.22%"
"09/07/2023","3,823.63","3,807.15","3,827.34","3,807.15","270.55M","0.43%"
"09/06/2023","3,807.15","3,844.33","3,861.32","3,804.23","445.88M","-0.97%"
"09/05/2023","3,844.33","3,830.90","3,871.39","3,830.90","373.72M","0.35%"
"09/04/2023","3,830.90","3,812.36","3,845.54","3,812.16","337.98M","0.49%"
